Fecha, Total, Money Orders, Cheques Personales, Transferencias Electrónicas, Efectivo y Especie, Total op, Money Orders op, Cheques Personales op, Transferencias Electrónicas op, Efectivo y Especie op
01/01/1995,254.5724,98.1427,2.0648,132.8102,21.5547,767.893,344.927,5.435,380.433,37.098
01/02/1995,248.0605,90.7991,1.4335,131.3008,24.5272,755.267,307.813,4.669,395.02,47.765
01/03/1995,287.3645,104.209,2.0369,157.2022,23.9163,894.602,345.051,4.817,477.003,67.732
01/04/1995,298.9135,118.2196,2.792,155.2538,22.648,919.767,388.086,6.256,467.321,58.104
01/05/1995,357.7396,144.386,2.726,189.6743,20.9533,1132.711,477.871,5.424,604.641,44.775
01/06/1995,352.3695,142.5336,2.7017,175.5759,31.5583,1026.296,398.018,5.424,567.992,54.862
01/07/1995,342.8993,132.0604,1.3004,179.4495,30.089,986.847,378.907,3.619,546.209,58.112
01/08/1995,362.2739,155.8545,2.8595,175.6895,27.8705,1015.416,413.017,7.879,553.467,41.053
01/09/1995,314.1492,134.9185,1.5737,161.3099,16.3471,940.423,372.757,3.861,532.949,30.856
01/10/1995,324.5033,124.9983,3.1779,172.5369,23.7902,1099.205,378.451,5.454,667.468,47.832
01/11/1995,255.5922,98.3346,1.6128,132.4554,23.1894,814.054,284.811,3.149,474.632,51.462
01/12/1995,274.2883,111.8314,1.9221,127.9724,32.5624,910.671,331.224,4.464,477.498,97.485
01/01/1996,313.5091,117.252,2.6261,149.2343,44.3967,960.939,333.176,5.256,556.645,65.863
01/02/1996,281.9257,100.6053,1.1009,151.0169,29.2027,903.741,286.6,2.593,566.266,48.282
01/03/1996,337.3185,116.176,5.2858,183.8997,31.957,1057.313,341.396,10.069,650.016,55.831
01/04/1996,393.3877,152.621,9.5368,205.5746,25.6553,1204.258,452.61,12.84,693.978,44.83
01/05/1996,413.542,145.4985,8.045,222.5487,37.4498,1336.139,464.596,13.392,799.698,58.452
01/06/1996,365.2451,130.7826,9.8696,197.7678,26.825,1126.757,359.662,12.743,703.132,51.22
01/07/1996,373.6705,138.2641,7.5525,197.9108,29.9431,1150.911,358.363,10.84,712.061,69.647
01/08/1996,386.0666,151.9365,10.6265,193.105,30.3987,1244.601,440.256,15.073,716.266,73.006
01/09/1996,339.2533,115.2315,4.2409,189.2801,30.5007,1046.666,291.698,6.627,706.107,42.233
01/10/1996,348.901,128.2713,5.5765,192.4295,22.6238,1120.643,346.77,7.494,734.672,31.707
01/11/1996,315.6016,99.9469,4.2519,167.5603,43.8424,952.588,254.922,6.079,635.683,55.904
01/12/1996,355.2609,123.1132,6.08,171.5172,54.5504,1103.501,296.813,7.173,687.997,111.518
01/01/1997,338.6477,117.607,4.3898,167.6006,49.0504,1105.493,383.508,5.95,615.76,100.275
01/02/1997,331.5918,110.2971,2.0718,185.9408,33.2821,1044.467,314.473,2.178,672.06,55.757
01/03/1997,381.9072,123.4019,5.8655,218.8305,33.8093,1214.671,361.4,7.273,789.112,56.886
01/04/1997,425.5386,155.3842,5.5838,235.3906,29.1801,1325.21,456.478,7.528,817.305,43.899
01/05/1997,486.6894,168.1975,10.9127,268.3548,39.2244,1492.847,443.462,16.71,971.627,61.048
01/06/1997,453.5596,174.7165,10.3746,242.0224,26.4462,1444.537,518.072,12.414,858.765,55.287
01/07/1997,441.6863,173.2139,6.6553,232.2968,29.5202,1393.293,472.231,9.244,836.641,75.177
01/08/1997,428.9022,156.4143,6.5981,235.9204,29.9693,1353.757,419.062,3.713,852.18,78.803
01/09/1997,431.4678,158.4465,6.5413,236.4101,30.07,1353.578,437.852,3.681,866.459,45.586
01/10/1997,421.6681,159.8338,6.4851,233.045,22.3043,1329.152,419.679,3.649,871.599,34.224
01/11/1997,343.4307,108.2239,6.4293,185.5544,43.2232,1087.168,309.897,3.618,713.311,60.343
01/12/1997,379.755,123.0781,6.374,196.5229,53.78,1224.414,329.053,3.587,771.402,120.372
