Fecha,Estado,Remesas
01/01/2003,Aguascalientes,62.4429
01/04/2003,Aguascalientes,58.7056
01/07/2003,Aguascalientes,68.7904
01/10/2003,Aguascalientes,70.3289
01/01/2004,Aguascalientes,73.5442
01/04/2004,Aguascalientes,82.3219
01/07/2004,Aguascalientes,82.9733
01/10/2004,Aguascalientes,75.995
01/01/2005,Aguascalientes,67.808
01/04/2005,Aguascalientes,77.9847
01/07/2005,Aguascalientes,87.5852
01/10/2005,Aguascalientes,89.2073
01/01/2006,Aguascalientes,82.1946
01/04/2006,Aguascalientes,100.4855
01/07/2006,Aguascalientes,100.8364
01/10/2006,Aguascalientes,95.8714
01/01/2007,Aguascalientes,94.6044
01/04/2007,Aguascalientes,100.299
01/07/2007,Aguascalientes,99.3361
01/10/2007,Aguascalientes,87.4667
01/01/2008,Aguascalientes,74.1427
01/04/2008,Aguascalientes,91.3117
01/07/2008,Aguascalientes,95.5226
01/10/2008,Aguascalientes,85.0246
01/01/2009,Aguascalientes,77.7885
01/04/2009,Aguascalientes,78.4957
01/07/2009,Aguascalientes,70.7318
01/10/2009,Aguascalientes,66.0334
01/01/2010,Aguascalientes,69.8815
01/04/2010,Aguascalientes,81.6423
01/07/2010,Aguascalientes,78.1298
01/10/2010,Aguascalientes,73.7473
01/01/2011,Aguascalientes,71.1591
01/04/2011,Aguascalientes,81.9526
01/07/2011,Aguascalientes,84.2913
01/10/2011,Aguascalientes,78.9193
01/01/2012,Aguascalientes,81.085
01/04/2012,Aguascalientes,100.3575
01/07/2012,Aguascalientes,85.5212
01/10/2012,Aguascalientes,78.2659
01/01/2013,Aguascalientes,70.9359
01/04/2013,Aguascalientes,84.4776
01/07/2013,Aguascalientes,80.5812
01/10/2013,Aguascalientes,80.8014
01/01/2014,Aguascalientes,79.1942
01/04/2014,Aguascalientes,86.5526
01/07/2014,Aguascalientes,83.2636
01/10/2014,Aguascalientes,85.5291
01/01/2015,Aguascalientes,82.7806
01/04/2015,Aguascalientes,90.2154
01/07/2015,Aguascalientes,94.6035
01/10/2015,Aguascalientes,89.4957
01/01/2016,Aguascalientes,91.9112
01/04/2016,Aguascalientes,102.5953
01/07/2016,Aguascalientes,106.1481
01/10/2016,Aguascalientes,105.0479
01/01/2017,Aguascalientes,102.4569
01/04/2017,Aguascalientes,112.8221
01/07/2017,Aguascalientes,114.0737
01/10/2017,Aguascalientes,115.3645
01/01/2018,Aguascalientes,104.5366
01/04/2018,Aguascalientes,130.1306
01/07/2018,Aguascalientes,122.5829
01/10/2018,Aguascalientes,128.9194
01/01/2019,Aguascalientes,112.8066
01/04/2019,Aguascalientes,132.5081
01/07/2019,Aguascalientes,140.8648
01/10/2019,Aguascalientes,131.4146
01/01/2020,Aguascalientes,131.5172
01/04/2020,Aguascalientes,139.3498
01/07/2020,Aguascalientes,139.0205
01/10/2020,Aguascalientes,146.7446
01/01/2021,Aguascalientes,144.6948
01/04/2021,Aguascalientes,184.0707
01/07/2021,Aguascalientes,186.5437
01/10/2021,Aguascalientes,195.6817
01/01/2022,Aguascalientes,175.2496
01/04/2022,Aguascalientes,219.3623
01/07/2022,Aguascalientes,232.4536
01/10/2022,Aguascalientes,233.098
01/01/2023,Aguascalientes,209.2045
01/04/2023,Aguascalientes,246.8825
01/07/2023,Aguascalientes,246.6109
01/10/2023,Aguascalientes,236.1761
01/01/2024,Aguascalientes,204.7375
01/04/2024,Aguascalientes,252.7127
01/07/2024,Aguascalientes,256.6272
01/10/2024,Aguascalientes,244.1016
01/01/2025,Aguascalientes,216.6151
01/04/2025,Aguascalientes,236.208
01/01/2003,Baja California,28.5954
01/04/2003,Baja California,33.7084
01/07/2003,Baja California,44.3751
01/10/2003,Baja California,35.3224
01/01/2004,Baja California,34.4552
01/04/2004,Baja California,43.6774
01/07/2004,Baja California,45.6772
01/10/2004,Baja California,41.2188
01/01/2005,Baja California,52.4007
01/04/2005,Baja California,66.828
01/07/2005,Baja California,70.2093
01/10/2005,Baja California,67.1974
01/01/2006,Baja California,68.569
01/04/2006,Baja California,78.2581
01/07/2006,Baja California,80.2418
01/10/2006,Baja California,74.9955
01/01/2007,Baja California,75.9435
01/04/2007,Baja California,87.6542
01/07/2007,Baja California,93.9811
01/10/2007,Baja California,85.2138
01/01/2008,Baja California,80.2353
01/04/2008,Baja California,92.036
01/07/2008,Baja California,93.0616
01/10/2008,Baja California,82.8235
01/01/2009,Baja California,76.9349
01/04/2009,Baja California,86.6822
01/07/2009,Baja California,89.6127
01/10/2009,Baja California,81.1246
01/01/2010,Baja California,79.8184
01/04/2010,Baja California,94.5473
01/07/2010,Baja California,95.4861
01/10/2010,Baja California,89.3305
01/01/2011,Baja California,91.9192
01/04/2011,Baja California,104.9231
01/07/2011,Baja California,110.8291
01/10/2011,Baja California,102.0411
